order_id,order_date,order_customer,item_category,item_vendor,order_item,order_price,order_qty,delivery_date,delivery_address
PO-0000,2021-09-24,Jerry Gaines,微型組件,STMicroelectronics,STM32F439II,159.6,2269,2021-12-26,"5843 Baker Mission
Hayestown, DC 02948"
PO-0001,2021-12-13,Mario Richards,記憶體,Western Digital (SanDisk),iNAND 7250,130.20000000000002,1249,2022-05-09,"359 James Bypass
South Kaitlinborough, NE 65147"
PO-0002,2022-03-01,Kristina Kirby,嵌入式模組,Innolux,N116BCA,278.25,1230,2022-03-27,"8156 Jennifer Bridge Apt. 242
Danielberg, IA 20545"
PO-0003,2021-10-06,Susan Joseph,類比-IC,Monolithic Power Systems,MP26124,156.45000000000002,2234,2021-11-05,"448 Weeks Mountain
South Kevin, WV 10440"
PO-0004,2022-05-18,Kimberly Cole,離散式元件,ROHM,VS3V3BA1FS,277.2,2063,2022-06-23,"316 Jennifer Fords Apt. 063
Christineberg, NM 29488"
PO-0005,2022-05-14,Mrs. Kirsten Mcgrath DDS,微型組件,Marvell,Marvell Avanta,269.85,1017,2022-05-14,"613 Edwards Park
Gabriellaton, OR 82093"
PO-0006,2021-04-27,Laura Beck,積體電路-IC,Lattice,MachXO3,138.6,2485,2022-01-29,"4670 Brenda Lodge
West Clifford, TN 99704"
PO-0007,2021-04-15,Margaret Miller,光電產品,Prophesee,PPS3MVCD,290.85,1262,2021-06-02,"24913 Ronald Junction
New Tonyachester, WA 73508"
PO-0008,2021-12-19,Jose Atkinson,非光學傳感器,STMicroelectronics,LIS2MDL,240.45000000000002,2047,2022-03-09,"30446 Laura Cape
Jacobside, FL 72173"
PO-0009,2021-11-05,Austin Waters,非光學傳感器,Tangio,TPE-500/800/900,26.25,1378,2022-01-06,"65780 Lauren Station
Port Nicholasmouth, NH 09770"
PO-0010,2022-03-13,Angela Martinez,機電產品,Knowles,SPH1644LM4H-1,158.55,1211,2022-05-01,"360 Austin Court
Allenfort, GA 82637"
PO-0011,2021-07-18,David Smith,嵌入式模組,Summit Wireless,Summit SWS997SD Rx Module,308.7,2221,2021-11-24,"667 Timothy Spur Suite 308
Trevormouth, ND 34366"
PO-0012,2021-05-16,Anne Foster,類比-IC,Monolithic Power Systems,MPQ4214,170.1,2371,2022-02-26,"0327 Karen Ranch Apt. 897
New Stephen, KY 52567"
PO-0013,2021-08-17,Jesse Stone,類比-IC,ROHM,BD86852MUF-C,107.10000000000001,1325,2022-05-31,"5797 Samuel Port Apt. 879
North Jeremiah, MO 67500"
PO-0014,2021-10-11,Paul Fuller,類比-IC,Monolithic Power Systems,MP26124,156.45000000000002,1695,2021-10-31,"0218 Matthew Isle Suite 602
Johnsport, GA 90287"
PO-0015,2022-03-17,Raven Mclaughlin,類比-IC,Marvell,Alaska 88E1512,28.35,1028,2022-05-17,"USNS Benjamin
FPO AE 63957"
PO-0016,2021-10-21,Dan Murphy,嵌入式模組,ROHM,BSMXXXX series,264.6,2065,2021-11-29,"25095 Flores Well
New Todd, NV 92817"
PO-0017,2021-08-29,Mary Rivera,類比-IC,Monolithic Power Systems,MP26124,156.45000000000002,2925,2021-09-26,"55842 Henry Expressway Apt. 934
Port Robertashire, NM 74937"
