order_id,order_date,order_customer,item_category,item_vendor,order_item,order_price,order_qty,delivery_date,delivery_address,stock
PO-0090,2021-08-06,Ellen Johnston,軟體類,Cyberlink,000,52.5,1086,2022-01-08,"82197 Fuller Valleys Suite 463
Campbellfort, WI 60133",-115
PO-0804,2021-10-06,Charles Taylor,軟體類,Cyberlink,000,52.5,2306,2022-01-30,"21694 Erin Rest Suite 584
North Dominictown, SC 92535",-2421
PO-0086,2021-12-07,Brooke Shaw,軟體類,Cyberlink,000,52.5,1966,2022-01-31,"42700 Barnes Shoals Apt. 273
East Cristian, DC 81303",-4387
PO-0848,2021-10-26,Lisa Braun,軟體類,Cyberlink,000,52.5,1595,2022-02-12,"PSC 4001, Box 4207
APO AA 32103",-5982
PO-1269,2021-07-30,William Lawrence,軟體類,Cyberlink,000,52.5,1412,2022-02-18,"3071 Mary Heights Apt. 418
South Shannon, VT 95790",-7394
PO-0066,2021-07-11,Craig Kelley,軟體類,Cyberlink,000,52.5,2798,2022-03-01,"3277 Mark Station Apt. 813
New Frankfurt, WY 88492",-10192
PO-0794,2021-05-13,Paula Wu,軟體類,Cyberlink,000,52.5,2448,2022-03-02,"407 Joseph Gateway Suite 719
Alexisview, WA 38325",-12640
PO-1162,2021-09-28,Gregory Montoya,軟體類,Cyberlink,000,52.5,2028,2022-03-16,"781 Garcia Manor
East Sarah, HI 03553",-14668
PO-0023,2021-07-21,Charlene Daniels,軟體類,Cyberlink,000,52.5,2879,2022-03-31,"PSC 8475, Box 8954
APO AE 60510",-17547
PO-1503,2022-03-03,Brian Ramos,軟體類,Cyberlink,000,52.5,1877,2022-04-03,"1672 Alexis Turnpike Suite 617
Frazierfort, AR 46748",-19424
PO-1678,2021-12-25,John Vaughan,軟體類,Cyberlink,000,52.5,2822,2022-04-10,"6547 Phillips Flat Apt. 370
Carrillochester, IA 01739",-22246
PO-0587,2022-04-22,Gregory Thompson,軟體類,Cyberlink,000,52.5,2007,2022-05-04,"26875 George Manors
Katherineshire, WI 56259",-24253
PO-0356,2021-12-04,Meghan Johnson,軟體類,Cyberlink,000,52.5,1384,2022-05-20,"871 Belinda Via
West Marissaland, MI 50869",-25637
PO-1326,2022-05-26,Sharon Wilson,軟體類,Cyberlink,000,52.5,1527,2022-06-01,"33965 Maria Fords Apt. 318
South Annland, TN 00800",-27164
PO-1506,2022-05-24,Terri Haney,軟體類,Cyberlink,000,52.5,2347,2022-06-01,"416 Ellis Island Apt. 123
East Jenniferton, UT 60698",-29511
PO-1173,2021-12-17,Marc Yoder,軟體類,Cyberlink,000,52.5,1662,2022-06-06,"074 Elizabeth Turnpike
Krystalview, CA 03872",-31173
PO-1898,2021-12-16,Bobby Murphy,軟體類,Cyberlink,000,52.5,2837,2022-06-13,"4727 Diana Throughway
New Williamstad, CA 53929",-34010
PO-0997,2021-05-05,Tiffany Kelley,軟體類,Cyberlink,000,52.5,1852,2022-06-14,"15617 Rodriguez Drive Apt. 846
Patrickchester, OH 83036",-35862
PO-0330,2022-05-18,Jennifer Johnson,軟體類,Cyberlink,000,52.5,2961,2022-06-19,"Unit 3678 Box 4001
DPO AA 28827",-38823
PO-1757,2021-06-04,Michael Hart,軟體類,Cyberlink,000,52.5,1712,2022-06-22,"497 Murphy Underpass
Cookport, OR 72084",-40535
PO-0242,2021-08-08,John Blevins,軟體類,Cyberlink,000,52.5,1074,2022-06-23,"22424 Kyle Mountains Apt. 336
Bethmouth, SD 54844",-41609
PO-1755,2022-01-28,Michael Garcia,軟體類,Cyberlink,000,52.5,1227,2022-06-24,"525 Brad Shores
West Jacquelineville, FL 23455",-42836
PO-1893,2022-05-28,Lisa Bray,軟體類,Cyberlink,000,52.5,2282,2022-07-01,"045 Maria Forges
New Christopherland, GA 09266",-45118
